1.1.1.1. Fõbb ármutatók [elõzõ év = 100,0%];;;;;;;; 
Év;Fogyasztóiár-index;Ipari termelõiár-index;Építõipari termelõiár-árindex;Beruházásiár-index;Szolgáltatásiár-index;Mezõgazdasági termékek termelõiár-indexe;A külkereskedelmi termékforgalom árindexe Behozatal;A külkereskedelmi termékforgalom árindexe Kivitel
2010;104,9;104,5;101,1;101,7;99,9;116,8;101,7;101,6
2011;103,9;104,2;102,2;102,1;100,5;119,3;105,0;103,3
2012;105,7;104,3;101,9;102,2;100,5;115,4;104,3;102,9
2013;101,7;100,7;101,9;101,2;101,3;92,2;99,4;100,0
2014;99,8;99,6;102,1;101,4;101,3;93,9;100,1;101,1
2015;99,9;99,1;102,5;101,6;99,9;100,4;98,9;99,7
2016;100,4;98,3;102,8;101,5;100,5;96,2;97,5;99,0
2017;102,4;103,3;105,2;103,0;100,8;105,6;101,9;101,5
2018;102,8;105,5;109,5;106,4;102,1;102,7;103,9;102,9
2019;103,4;102,1;109,7;106,4;102,9;105,4;101,1;101,7
2020;103,3;104,2;107,4;107,0;102,3;107,4;102,6;104,7
2021;105,1;113,5;111,4;109,8;101,8;119,3;111,8;107,8
2022;114,5;133,7;124,5;119,8;110,4;149,7;131,7;122,7
2023;117,6;107,8;115,9;114,2;110,3;84,1;93,8;99,8
